"country","day","term","rank","repetitions"
"1430","Finland","2024-06-12","iOS 18",2,36
"1431","Finland","2024-06-12","Florida Panthers",3,36
"1432","Finland","2024-06-12","Malawi",4,36
"1433","Finland","2024-06-12","Hunter Biden",5,36
"1434","Finland","2024-06-13","Barkov",1,36
"1435","Finland","2024-06-13","iOS 18",2,36
"1436","Finland","2024-06-13","Florida Panthers",3,36
"1437","Finland","2024-06-13","Malawi",4,36
"1438","Finland","2024-06-13","Hunter Biden",5,36
"1439","Finland","2024-06-14","Bridgerton",1,36
"1440","Finland","2024-06-14","U.S. Open golf",2,36
"1441","Finland","2024-06-14","Mirjam Helin",3,36
"1442","Finland","2024-06-14","Chinatown",4,36
"1443","Finland","2024-06-14","Lia Thomas",5,36
"1444","Finland","2024-06-15","Euro 2024",1,36
"1445","Finland","2024-06-15","NHL",2,36
"1446","Finland","2024-06-15","Sideways",4,36
"1447","Finland","2024-06-15","Dana White",5,36
"1448","Finland","2024-06-16","Albania",1,36
"1449","Finland","2024-06-16","Lamine Yamal",2,36
"1450","Finland","2024-06-16","Kevin Campbell",3,36
"1451","Finland","2024-06-16","Luka Modric",4,36
"1452","Finland","2024-06-16","Matija Sarkic",5,36
"1453","Finland","2024-06-17","Christian Eriksen",1,54
"1454","Finland","2024-06-17","Jude Bellingham",2,54
"1455","Finland","2024-06-17","Serbia",3,54
"1456","Finland","2024-06-17","Father's Day",4,54
"1457","Finland","2024-06-17","Romania",5,54
"1458","Finland","2024-06-18","Mbappe",1,54
"1459","Finland","2024-06-18","Paavo Nurmi Games",2,54
"1460","Finland","2024-06-18","Lukaku",3,54
"1461","Finland","2024-06-18","Telegram",4,54
"1462","Finland","2024-06-18","Hiram Kasten",5,54
"1463","Finland","2024-06-19","Ronaldo",1,54
"1464","Finland","2024-06-19","Pepe",2,54
"1465","Finland","2024-06-19","Georgia",3,54
"1466","Finland","2024-06-19","Anouk Aimée",4,54
"1467","Finland","2024-06-19","Justin Timberlake",5,54
"1468","Finland","2024-06-20","Albania",1,54
"1469","Finland","2024-06-20","Shaqiri",2,54
"1470","Finland","2024-06-20","Musiala",3,54
"1471","Finland","2024-06-20","Florida Edmonton",4,54
"1472","Finland","2024-06-20","Noam Chomsky",5,54
"1473","Finland","2024-06-21","Donald Sutherland",1,54
"1474","Finland","2024-06-21","Alko",2,54
"1475","Finland","2024-06-21","Slovenia",3,54
"1476","Finland","2024-06-21","Nico Williams",4,54
"1477","Finland","2024-06-21","Lamine Yamal",5,54
"1478","Finland","2024-06-22","Mbappe",1,54
"1479","Finland","2024-06-22","Lewandowski",2,54
"1480","Finland","2024-06-22","Copa America",3,54
"1481","Finland","2024-06-22","Griezmann",4,54
"1482","Finland","2024-06-22","Sale",5,54
"1483","Finland","2024-06-23","Mel Gibson",1,54
"1484","Finland","2024-06-23","Ronaldo",2,54
"1485","Finland","2024-06-23","NHL",3,54
"1486","Finland","2024-06-23","Romania",4,54
"1487","Finland","2024-06-23","Georgia",5,54
"1488","Finland","2024-06-24","Dagestan",1,72
"1489","Finland","2024-06-24","Foolio",2,72
"1490","Finland","2024-06-24","European tour",3,72
"1491","Finland","2024-06-24","Andrew Tate",4,72
"1492","Finland","2024-06-24","Jay Slater",5,72
"1493","Finland","2024-06-25","Tamayo Perry",1,72
"1494","Finland","2024-06-25","Barnabas Varga",2,72
"1495","Finland","2024-06-25","Luka Modric",3,72
"1496","Finland","2024-06-25","Donnarumma",4,72
"1497","Finland","2024-06-25","Shivon Zilis",5,72
"1498","Finland","2024-06-26","Florida Panthers",1,72
"1499","Finland","2024-06-26","NHL",2,72
"1500","Finland","2024-06-26","Crazy Town",3,72
"1501","Finland","2024-06-26","Julian Assange",4,72
"1502","Finland","2024-06-26","Slovenia",5,72
"1503","Finland","2024-06-27","Georgia",1,72
"1504","Finland","2024-06-27","Mark Rutte",2,72
"1505","Finland","2024-06-27","Phil Foden",3,72
"1506","Finland","2024-06-27","Nick Cave",4,72
"1507","Finland","2024-06-27","Lukaku",5,72
"1508","Finland","2024-06-28","NBA Draft 2024",1,72
"1509","Finland","2024-06-28","Bill Cobbs",2,72
"1510","Finland","2024-06-28","Bolivia",3,72
"1511","Finland","2024-06-28","Steam Summer Sale 2024",4,72
"1512","Finland","2024-06-28","Georgia vs Portugal",5,72
"1513","France","2024-06-03","ASSE",1,22
"1514","France","2024-06-03","Novak Djokovic",2,22
"1515","France","2024-06-03","Tsitsipas",3,22
"1516","France","2024-06-03","Claudia Sheinbaum",4,22
"1517","France","2024-06-03","FC Metz",5,22
"1518","France","2024-06-04","Mbappe",1,22
"1519","France","2024-06-04","Marthe Keller",2,22
"1520","France","2024-06-04","Mirra Andreeva",3,22
"1521","France","2024-06-04","Mon Master",4,22
"1522","France","2024-06-04","Alex de Minaur",5,22
"1523","France","2024-06-05","Djokovic",1,22
"1524","France","2024-06-05","France-Luxembourg",2,22
"1525","France","2024-06-05","Zverev",3,22
"1526","France","2024-06-05","Hunter Biden",4,22
"1527","France","2024-06-05","Pass Rail",5,22
"1528","France","2024-06-06","Andreeva",1,22
"1529","France","2024-06-06","Macron",2,22
"1530","France","2024-06-06","Ben",3,22
"1531","France","2024-06-06","Coco Gauff",4,22
"1532","France","2024-06-06","Sous la Seine",5,22
"1533","France","2024-06-07","Zverev",1,22
"1534","France","2024-06-07","Brigitte Macron",2,22
"1535","France","2024-06-07","Iga Swiatek",3,22
"1536","France","2024-06-07","Mirage 2000-5",4,22
"1537","France","2024-06-07","Colleville-sur-Mer",5,22
"1538","France","2024-06-08","Alcaraz",1,22
"1539","France","2024-06-08","Swiatek",2,22
"1540","France","2024-06-08","Paolini",3,22
"1541","France","2024-06-08","Joe Biden",4,22
"1542","France","2024-06-08","Finale Roland-Garros 2024",5,22
"1543","France","2024-06-09","France-Canada",1,22
"1544","France","2024-06-09","Carlos Alcaraz",2,22
"1545","France","2024-06-09","F1",3,22
"1546","France","2024-06-09","Finale Roland-Garros",4,22
"1547","France","2024-06-09","Christophe Deloire",5,22
"1548","France","2024-06-10","Resultat election européenne 2024",1,44
"1549","France","2024-06-10","Dissolution Assemblée nationale",2,44
"1550","France","2024-06-10","Résultats des élections européennes",3,44
"1551","France","2024-06-10","PPE",4,44
"1552","France","2024-06-10","Résultats des élections à Union européenne",5,44
"1553","France","2024-06-11","Kevin Mayer",2,44
"1554","France","2024-06-11","Front populaire",3,44
"1555","France","2024-06-11","Front populaire 2024",4,44
"1556","France","2024-06-11","Laurent Wauquiez",5,44
"1557","France","2024-06-12","Guillaume Meurice",1,44
"1558","France","2024-06-12","Apple",2,44
"1559","France","2024-06-12","Max",3,44
"1560","France","2024-06-12","Atos",4,44
"1561","France","2024-06-12","Front populaire",5,44
"1562","France","2024-06-13","Guillaume Meurice",1,44
"1563","France","2024-06-13","Apple",2,44
"1564","France","2024-06-13","Max",3,44
"1565","France","2024-06-13","Atos",4,44
"1566","France","2024-06-13","Front populaire",5,44
"1567","France","2024-06-14","Sujet bac français 2024",1,44
"1568","France","2024-06-14","Francois Hollande",2,44
"1569","France","2024-06-14","De Zerbi",3,44
"1570","France","2024-06-14","Eric Ciotti republicains",4,44
"1571","France","2024-06-14","Cordes-sur-Ciel",5,44
"1572","France","2024-06-15","Euro 2024",1,44
"1573","France","2024-06-15","Allemagne-Ecosse",2,44
"1574","France","2024-06-15","Programme Front populaire 2024",3,44
"1575","France","2024-06-15","Squeezie",4,44
"1576","France","2024-06-15","Tomer Sisley",5,44
"1577","France","2024-06-16","Espagne-Croatie",1,44
"1578","France","2024-06-16","Francois Hollande",2,44
"1579","France","2024-06-16","Kate Middleton",3,44
"1580","France","2024-06-16","24 Heures du Mans 2024",4,44
"1581","France","2024-06-16","24H du Mans",5,44
"1582","France","2024-06-17","Fête des pères",1,66
"1583","France","2024-06-17","Celine Dion",2,66
"1584","France","2024-06-17","Jodie Devos",3,66
"1585","France","2024-06-17","Kylian Mbappé",4,66
"1586","France","2024-06-17","Serbie-Angleterre",5,66
"1587","France","2024-06-18","France Autriche",1,66
"1588","France","2024-06-18","Mbappe",2,66
"1589","France","2024-06-18","Sujet Bac philo 2024",3,66
"1590","France","2024-06-18","France",4,66
"1591","France","2024-06-18","Roumanie Ukraine",5,66
"1592","France","2024-06-19","Anouk Aimée",1,66
"1593","France","2024-06-19","Portugal republique tcheque",2,66
"1594","France","2024-06-19","Serge Klarsfeld",3,66
"1595","France","2024-06-19","Appel du 18 juin",4,66
"1596","France","2024-06-19","Foot",5,66
"1597","France","2024-06-20","Allemagne-Hongrie",1,66
"1598","France","2024-06-20","Croatie Albanie",2,66
"1599","France","2024-06-20","Ecosse Suisse",3,66
"1600","France","2024-06-20","Brigitte Macron",4,66
"1601","France","2024-06-20","Secret Story",5,66
"1602","France","2024-06-21","France Pays-Bas",1,66
"1603","France","2024-06-21","Donald Sutherland",2,66
"1604","France","2024-06-21","Italie Espagne",3,66
"1605","France","2024-06-21","Danemark – Angleterre",4,66
"1606","France","2024-06-21","Bugatti Tourbillon",5,66
"1607","France","2024-06-22","Portugal Turquie",1,66
"1608","France","2024-06-22","Top 14",2,66
"1609","France","2024-06-22","Fete de la Musique",3,66
"1610","France","2024-06-22","Pologne Autriche",4,66
"1611","France","2024-06-22","La berarde",5,66
"1612","France","2024-06-23","Portugal Turquie",1,66
"1613","France","2024-06-23","Belgique Roumanie",2,66
"1614","France","2024-06-23","UBB Stade Français",3,66
"1615","France","2024-06-23","Formule 1",4,66
"1616","France","2024-06-23","F1",5,66
"1617","France","2024-06-24","Allemagne Suisse",1,88
"1618","France","2024-06-24","Barnabas Varga",2,88
"1619","France","2024-06-24","Pierre Niney",3,88
"1620","France","2024-06-24","SONDAGE. Législatives 2024",4,88
"1621","France","2024-06-24","Mathieu Kassovitz",5,88
"1622","France","2024-06-25","France Pologne",1,88
"1623","France","2024-06-25","France – Pologne",2,88
"1624","France","2024-06-25","Barnabas Varga",3,88
"1625","France","2024-06-25","Tamayo Perry",4,88
"1626","France","2024-06-25","Ligne 14",5,88
"1627","France","2024-06-26","TF1",1,88
"1628","France","2024-06-26","Match France",2,88
"1629","France","2024-06-26","France",3,88
"1630","France","2024-06-26","Marc Lavoine",4,88
"1631","France","2024-06-26","Julian Assange",5,88
"1632","France","2024-06-27","Portugal georgie",1,88
"1633","France","2024-06-27","Ukraine – Belgique",2,88
"1634","France","2024-06-27","France-Belgique",3,88
"1635","France","2024-06-27","Olivier Faure",4,88
"1636","France","2024-06-27","Sephora",5,88
"1637","France","2024-06-28","Draft NBA 2024",1,88
"1638","France","2024-06-28","Celine Dion",2,88
"1639","France","2024-06-28","Marine Le Pen",3,88
"1640","France","2024-06-28","LeBron James",4,88
"1641","France","2024-06-28","Landry Nguemo",5,88
"1642","Germany","2024-06-03","FTI",1,16
"1643","Germany","2024-06-03","Polizist Mannheim",2,16
"1644","Germany","2024-06-03","Claudia Sheinbaum",3,16
"1645","Germany","2024-06-03","Holger Rune",4,16
"1646","Germany","2024-06-03","Fußball",5,16
"1647","Germany","2024-06-04","DFB",1,16
"1648","Germany","2024-06-04","Manfred Wolke",2,16
"1649","Germany","2024-06-04","Polizei",3,16
"1650","Germany","2024-06-04","FTI",4,16
"1651","Germany","2024-06-04","Polizist Mannheim",5,16
"1652","Germany","2024-06-05","De Minaur",2,16
"1653","Germany","2024-06-05","Lars Windhorst",5,16
"1654","Germany","2024-06-06","D-Day",1,16
"1655","Germany","2024-06-06","EZB zinsentscheid",2,16
"1656","Germany","2024-06-06","JP-Morgan-Lauf",3,16
"1657","Germany","2024-06-06","TU Berlin, Geraldine Rauch",4,16
"1658","Germany","2024-06-07","Deutschland Griechenland",1,16
"1659","Germany","2024-06-07","Leichtathletik-EM 2024",3,16
"1660","Germany","2024-06-07","Zverev French Open",4,16
"1661","Germany","2024-06-07","Summer Game Fest 2024",5,16
"1662","Germany","2024-06-08","DFB",1,16
"1663","Germany","2024-06-08","Fussball em",2,16
"1664","Germany","2024-06-08","Europawahl 2024 wahlzettel",3,16
"1665","Germany","2024-06-08","Fussball",4,16
"1666","Germany","2024-06-08","Leichtathletik-EM",5,16
"1667","Germany","2024-06-09","Formel-1",2,16
"1668","Germany","2024-06-09","Europawahlen",3,16
"1669","Germany","2024-06-09","French Open Finale",5,16
"1670","Germany","2024-06-10","Europawahl",1,32
"1671","Germany","2024-06-10","AfD",2,32
"1672","Germany","2024-06-10","Europawahl Hochrechnung",3,32
"1673","Germany","2024-06-10","Macron",4,32
"1674","Germany","2024-06-10","Volt",5,32
"1675","Germany","2024-06-11","Apple",1,32
"1676","Germany","2024-06-11","Tennis",2,32
"1677","Germany","2024-06-11","Krah",3,32
"1678","Germany","2024-06-11","Stuttgart 21",4,32
"1679","Germany","2024-06-11","Kommunalwahlen 2024. Ergebnisse",5,32
"1680","Germany","2024-06-12","Döbeln",1,32
"1681","Germany","2024-06-12","Klaus Töpfer",2,32
"1682","Germany","2024-06-12","Saarbrücken",3,32
"1683","Germany","2024-06-12","Apple",4,32
"1684","Germany","2024-06-12","Tennis",5,32
"1685","Germany","2024-06-13","Döbeln",1,32
"1686","Germany","2024-06-13","Klaus Töpfer",2,32
"1687","Germany","2024-06-13","Saarbrücken",3,32
"1688","Germany","2024-06-13","Apple",4,32
"1689","Germany","2024-06-13","Tennis",5,32
"1690","Germany","2024-06-14","Deutschland Schottland",1,32
"1691","Germany","2024-06-14","Musiala",2,32
"1692","Germany","2024-06-14","Terzic",3,32
"1693","Germany","2024-06-14","Nagelsmann",4,32
"1694","Germany","2024-06-14","Emre Can",5,32
"1695","Germany","2024-06-15","EM",1,32
"1696","Germany","2024-06-15","Em Spiele",2,32
"1697","Germany","2024-06-15","ARD",3,32
"1698","Germany","2024-06-15","Fussball",4,32
"1699","Germany","2024-06-15","Kate",5,32
"1700","Germany","2024-06-16","Bellingham",1,32
"1701","Germany","2024-06-16","Le Mans 2024",2,32
"1702","Germany","2024-06-16","Shirin David",3,32
"1703","Germany","2024-06-16","Schweiz",4,32
"1704","Germany","2024-06-16","Spanien",5,32
"1705","Germany","2024-06-17","Türkei Georgien",1,48
"1706","Germany","2024-06-17","Gelsenkirchen",2,48
"1707","Germany","2024-06-17","Hamburg",3,48
"1708","Germany","2024-06-17","Haaland",4,48
"1709","Germany","2024-06-17","Bellingham",5,48
"1710","Germany","2024-06-18","Türkei vs Georgien",1,48
"1711","Germany","2024-06-18","Ukraine",2,48
"1712","Germany","2024-06-18","Stark-Watzinger",3,48
"1713","Germany","2024-06-18","IG Metall",4,48
"1714","Germany","2024-06-18","Türkei Georgien",5,48
"1715","Germany","2024-06-19","Deutschland Ungarn",1,48
"1716","Germany","2024-06-19","Kroatien Albanien",2,48
"1717","Germany","2024-06-19","ARD",3,48
"1718","Germany","2024-06-19","Türkei",4,48
"1719","Germany","2024-06-19","Justin Timberlake",5,48
"1720","Germany","2024-06-20","Schweiz Schottland",1,48
"1721","Germany","2024-06-20","Alexander Schweitzer",2,48
"1722","Germany","2024-06-20","Jonathan Tah",3,48
"1723","Germany","2024-06-20","Kroatien",4,48
"1724","Germany","2024-06-20","DFB",5,48
"1725","Germany","2024-06-21","Donald Sutherland",1,48
"1726","Germany","2024-06-21","Nico Williams",2,48
"1727","Germany","2024-06-21","Göring-Eckardt",3,48
"1728","Germany","2024-06-21","Sommersonnenwende",4,48
"1729","Germany","2024-06-21","Spanien",5,48
"1730","Germany","2024-06-22","Alexander Zverev",1,48
"1731","Germany","2024-06-22","Hurricane Festival",2,48
"1732","Germany","2024-06-22","Olise",3,48
"1733","Germany","2024-06-22","Roland Kaiser",4,48
"1734","Germany","2024-06-22","Peter Maffay",5,48
"1735","Germany","2024-06-23","Deutschland Schweiz",1,48
"1736","Germany","2024-06-23","Schottland Ungarn",2,48
"1737","Germany","2024-06-23","Ronaldo",3,48
"1738","Germany","2024-06-23","Formel 1",4,48
"1739","Germany","2024-06-23","Portugal",5,48
"1740","Germany","2024-06-24","Kroatien Italien",1,64
"1741","Germany","2024-06-24","Albanien Spanien",2,64
"1742","Germany","2024-06-24","Deutschland",3,64
"1743","Germany","2024-06-24","Toni Kroos",4,64
"1744","Germany","2024-06-24","BYD",5,64
"1745","Germany","2024-06-25","Modric",1,64
"1746","Germany","2024-06-25","Füllkrug",2,64
"1747","Germany","2024-06-25","Tamayo Perry",3,64
"1748","Germany","2024-06-25","Sechs-Tage-Woche Griechenland",4,64
"1749","Germany","2024-06-25","Italien",5,64
"1750","Germany","2024-06-26","Julian Assange",1,64
"1751","Germany","2024-06-26","Arian",2,64
"1752","Germany","2024-06-26","Solingen",3,64
"1753","Germany","2024-06-26","Dänemark",4,64
"1754","Germany","2024-06-26","Füllkrug",5,64
"1755","Germany","2024-06-27","Fredl Fesl",1,64
"1756","Germany","2024-06-27","Türkei",2,64
"1757","Germany","2024-06-27","Polizei",3,64
"1758","Germany","2024-06-27","Rivian",4,64
"1759","Germany","2024-06-27","Julián Assange",5,64
"1760","Germany","2024-06-28","Sophia Thiel",1,64
"1761","Germany","2024-06-28","LeBron James",2,64
"1762","Germany","2024-06-28","Unwetter",3,64
"1763","Germany","2024-06-28","A Quiet Place",4,64
"1764","Germany","2024-06-28","Katrin Vernau",5,64
"1765","Hungary","2024-06-03","Next Top Model Hungary győztes",1,20
"1766","Hungary","2024-06-03","Győri Audi ETO",2,20
"1767","Hungary","2024-06-03","Mbappe",3,20
"1768","Hungary","2024-06-03","Kylian Mbappé",4,20
"1769","Hungary","2024-06-03","Munch",5,20
"1770","Hungary","2024-06-04","Magyar válogatott",1,20
"1771","Hungary","2024-06-04","Trianon",2,20
"1772","Hungary","2024-06-04","Kern András",3,20
"1773","Hungary","2024-06-04","Radar",4,20
"1774","Hungary","2024-06-04","Jordán Tamás",5,20
"1775","Hungary","2024-06-05","Geszti kastély",1,20
"1776","Hungary","2024-06-05","Bill Murray",2,20
"1777","Hungary","2024-06-05","Kylian Mbappé",3,20
"1778","Hungary","2024-06-05","Gyurcsány Ferenc",4,20
"1779","Hungary","2024-06-05","Lady Gaga",5,20
"1780","Hungary","2024-06-06","Magyarország",1,20
"1781","Hungary","2024-06-06","Manuel",2,20
"1782","Hungary","2024-06-06","M4",3,20
"1783","Hungary","2024-06-06","Evangeline Lilly",4,20
"1784","Hungary","2024-06-06","Tasó László",5,20
"1785","Hungary","2024-06-07","Kalocsa",1,20
"1786","Hungary","2024-06-07","BinX",2,20
"1787","Hungary","2024-06-07","Robert Fico",3,20
"1788","Hungary","2024-06-07","Chance Perdomo",4,20
"1789","Hungary","2024-06-07","SpaceX",5,20
"1790","Hungary","2024-06-08","Vitézy Dávid",1,20
"1791","Hungary","2024-06-08","Magyarország–izrael",2,20
"1792","Hungary","2024-06-08","Forma-1",3,20
"1793","Hungary","2024-06-08","M4 Sport",4,20
"1794","Hungary","2024-06-08","Tisza",5,20
"1795","Hungary","2024-06-09","Valasztas 2024",1,20
"1796","Hungary","2024-06-09","Szavazás 2024",2,20
"1797","Hungary","2024-06-09","Magyar Péter",3,20
"1798","Hungary","2024-06-09","Szavazas 2024",4,20
"1799","Hungary","2024-06-09","2024 választás",5,20
"1800","Hungary","2024-06-10","Választás 2024",1,40
"1801","Hungary","2024-06-10","Vitézy Dávid",2,40
"1802","Hungary","2024-06-10","EPP",3,40
"1803","Hungary","2024-06-10","Telex",4,40
"1804","Hungary","2024-06-10","Tisza",5,40
"1805","Hungary","2024-06-11","Index",1,40
"1806","Hungary","2024-06-11","Origo",2,40
"1807","Hungary","2024-06-11","Csák János",3,40
"1808","Hungary","2024-06-11","Hírek",4,40
"1809","Hungary","2024-06-11","Tiszapárt",5,40
"1810","Hungary","2024-06-12","Hundred Sins",1,40
"1811","Hungary","2024-06-12","Vecsei H. Miklós",2,40
"1812","Hungary","2024-06-12","Malawi",3,40
"1813","Hungary","2024-06-12","Húsevő baktérium",4,40
"1814","Hungary","2024-06-12","Bangó Margit",5,40
"1815","Hungary","2024-06-13","Hundred Sins",1,40
"1816","Hungary","2024-06-13","Vecsei H. Miklós",2,40
"1817","Hungary","2024-06-13","Malawi",3,40
"1818","Hungary","2024-06-13","Húsevő baktérium",4,40
"1819","Hungary","2024-06-13","Bangó Margit",5,40
"1820","Hungary","2024-06-14","Karácsony Gergely",1,40
"1821","Hungary","2024-06-14","Bridgerton",2,40
"1822","Hungary","2024-06-14","Pascal Jansen",3,40
"1823","Hungary","2024-06-14","Főpolgármester-választás újraszámlálás",4,40
"1824","Hungary","2024-06-14","Rogán Antal",5,40
"1825","Hungary","2024-06-15","Magyarország Svájc",1,40
"1826","Hungary","2024-06-15","Németország Skócia",2,40
"1827","Hungary","2024-06-15","M4",3,40
"1828","Hungary","2024-06-15","Beckenbauer",4,40
"1829","Hungary","2024-06-16","Olaszorszag albania",1,40
"1830","Hungary","2024-06-16","Spanyolország–horvátország",2,40
"1831","Hungary","2024-06-16","Ádám Martin",3,40
"1832","Hungary","2024-06-16","Matija Sarkic",4,40
"1833","Hungary","2024-06-16","Szakács István",5,40
"1834","Hungary","2024-06-17","Coldplay",1,60
"1835","Hungary","2024-06-17","Lengyelország-Hollandia",2,60
"1836","Hungary","2024-06-17","Eriksen",3,60
"1837","Hungary","2024-06-17","Kane",4,60
"1838","Hungary","2024-06-17","Ronald Koeman",5,60
"1839","Hungary","2024-06-18","Mbappe",1,60
"1840","Hungary","2024-06-18","Belgium Szlovákia",2,60
"1841","Hungary","2024-06-18","Románia Ukrajna",3,60
"1842","Hungary","2024-06-18","Gattyán György",4,60
"1843","Hungary","2024-06-18","Eva Mendes",5,60
"1844","Hungary","2024-06-19","Portugália Csehország",1,60
"1845","Hungary","2024-06-19","Magyar-német meccs",2,60
"1846","Hungary","2024-06-19","Német-magyar meccs",3,60
"1847","Hungary","2024-06-19","Magyarorszag nemetorszag",4,60
"1848","Hungary","2024-06-19","Pepe",5,60
"1849","Hungary","2024-06-20","Horvátország–Albánia",1,60
"1850","Hungary","2024-06-20","M4",2,60
"1851","Hungary","2024-06-20","Svájc Skócia",3,60
"1852","Hungary","2024-06-20","Stuttgart",4,60
"1853","Hungary","2024-06-20","Bolla Bendegúz",5,60
"1854","Hungary","2024-06-21","Donald Sutherland",1,60
"1855","Hungary","2024-06-21","Spanyolország–Olaszország",2,60
"1856","Hungary","2024-06-21","Moldován András",3,60
"1857","Hungary","2024-06-21","Nyári napforduló",4,60
"1858","Hungary","2024-06-21","Balázs Kicks",5,60
"1859","Hungary","2024-06-22","Vadász Zsolt",1,60
"1860","Hungary","2024-06-22","Hollandia–franciaország",2,60
"1861","Hungary","2024-06-22","Pride 2024",3,60
"1862","Hungary","2024-06-22","Lewandowski",4,60
"1863","Hungary","2024-06-22","F1",5,60
"1864","Hungary","2024-06-23","Időjárás",1,60
"1865","Hungary","2024-06-23","Skócia–Magyarország",2,60
"1866","Hungary","2024-06-23","Törökország–portugália",3,60
"1867","Hungary","2024-06-23","Lukaku",4,60
"1868","Hungary","2024-06-23","Georgia",5,60
"1869","Hungary","2024-06-24","Csoboth Kevin",1,80
"1870","Hungary","2024-06-24","Varga Barnabás",2,80
"1871","Hungary","2024-06-24","Magyar-skót meccs",3,80
"1872","Hungary","2024-06-24","Svájc–németország",4,80
"1873","Hungary","2024-06-24","Szoboszlai Dominik",5,80
"1874","Hungary","2024-06-25","Horvátország–olaszország",1,80
"1875","Hungary","2024-06-25","Tamayo Perry",2,80
"1876","Hungary","2024-06-25","Albánia–spanyolország",3,80
"1877","Hungary","2024-06-25","Anglia Szlovénia Eb",4,80
"1878","Hungary","2024-06-25","Csobot Adél",5,80
"1879","Hungary","2024-06-26","Anglia szlovenia",1,80
"1880","Hungary","2024-06-26","Crazy Town",2,80
"1881","Hungary","2024-06-26","Franciaország–lengyelország",3,80
"1882","Hungary","2024-06-26","Mwajas Kriszta",4,80
"1883","Hungary","2024-06-26","Orbán Viktor",5,80
"1884","Hungary","2024-06-27","Georgia",1,80
"1885","Hungary","2024-06-27","Csehország–törökország",2,80
"1886","Hungary","2024-06-27","Apple Pay",3,80
"1887","Hungary","2024-06-27","Szlovákia–Románia",4,80
"1888","Hungary","2024-06-27","Roger Moore",5,80
"1889","Hungary","2024-06-28","Ronaldo",1,80
"1890","Hungary","2024-06-28","Elcserélt életek",2,80
"1891","Hungary","2024-06-28","Billie Eilish",3,80
"1892","Hungary","2024-06-28","Bill Cobbs",4,80
"1893","Hungary","2024-06-28","Hawk Tuah Girl",5,80
"1894","India","2024-06-03","Election Result",1,36
"1895","India","2024-06-03","Election Results 2024",2,36
"1896","India","2024-06-03","Vote counting",3,36
"1897","India","2024-06-03","Cricket",4,36
"1898","India","2024-06-03","WI vs PNG",5,36
"1899","India","2024-06-04","Sri Lanka vs South Africa",1,36
"1900","India","2024-06-04","Share Market Today",2,36
"1901","India","2024-06-04","Nifty",3,36
"1902","India","2024-06-04","Nifty 50",4,36
"1903","India","2024-06-04","World Environment Day",5,36
"1904","India","2024-06-05","Samajwadi Party",1,36
"1905","India","2024-06-05","Nitish Kumar",2,36
"1906","India","2024-06-05","NEET Result 2024",3,36
"1907","India","2024-06-05","Ap elections 2024",4,36
"1908","India","2024-06-05","IND vs IRE",5,36
"1909","India","2024-06-06","India vs Ireland",1,36
"1910","India","2024-06-06","India vs Kuwait",2,36
"1911","India","2024-06-06","Election results 2024 India",3,36
"1912","India","2024-06-06","World Environment Day",4,36
"1913","India","2024-06-06","Munjya Movie",5,36
"1914","India","2024-06-07","PAK vs USA",1,36
"1915","India","2024-06-07","Sunil Chhetri",2,36
"1916","India","2024-06-07","Kangana Ranaut News",3,36
"1917","India","2024-06-07","Kangana Ranaut slap",4,36
"1918","India","2024-06-07","Father's Day",5,36
"1919","India","2024-06-08","Munjya",1,36
"1920","India","2024-06-08","Pakistan",2,36
"1921","India","2024-06-08","Star",3,36
"1922","India","2024-06-08","Alcaraz",4,36
"1923","India","2024-06-08","Jasmine Paolini",5,36
"1924","India","2024-06-09","India vs Pakistan",1,36
"1925","India","2024-06-09","Australia vs England",2,36
"1926","India","2024-06-09","India Pakistan match",3,36
"1927","India","2024-06-09","Ramoji Rao",4,36
"1928","India","2024-06-09","Portugal",5,36
"1929","India","2024-06-10","IND vs PAK match",1,72
"1930","India","2024-06-10","Modi",2,72
"1931","India","2024-06-10","PM Modi",3,72
"1932","India","2024-06-10","F1",4,72
"1933","India","2024-06-10","India vs Pakistan",5,72
"1934","India","2024-06-11","South Africa vs Bangladesh",1,72
"1935","India","2024-06-11","SA vs BAN",2,72
"1936","India","2024-06-11","Kalki",3,72
"1937","India","2024-06-11","Amit Malviya",4,72
"1938","India","2024-06-11","India",5,72
"1939","India","2024-06-12","India vs USA",1,72
"1940","India","2024-06-12","Mohan Majhi",2,72
"1941","India","2024-06-12","PAK vs CAN",3,72
"1942","India","2024-06-12","iOS 18",4,72
"1943","India","2024-06-12","Pakistan vs Canada",5,72
"1944","India","2024-06-13","India vs USA",1,72
"1945","India","2024-06-13","Mohan Majhi",2,72
"1946","India","2024-06-13","PAK vs CAN",3,72
"1947","India","2024-06-13","iOS 18",4,72
"1948","India","2024-06-13","Pakistan vs Canada",5,72
"1949","India","2024-06-14","United States vs Ireland",1,72
"1950","India","2024-06-14","Bangladesh vs Netherlands",2,72
"1951","India","2024-06-14","Tamilisai Soundararajan",3,72
"1952","India","2024-06-14","IND vs CAN",4,72
"1953","India","2024-06-14","Kuwait",5,72
"1954","India","2024-06-15","India vs Canada",1,72
"1955","India","2024-06-15","Father's Day 2024",2,72
"1956","India","2024-06-15","Euro 2024",3,72
"1957","India","2024-06-15","Meloni",4,72
"1958","India","2024-06-15","Giorgia Meloni",5,72
"1959","India","2024-06-16","Father's Day 2024",1,72
"1960","India","2024-06-16","Father's Day",2,72
"1961","India","2024-06-16","Shubman Gill",3,72
